Date,State,State_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today,Samples_Sent_For_Testing,Samples_Tested_Negative
31-01-2020,Kerala,32,1,1,0,0,1471,1421,50,36,NA,NA
01-02-2020,Kerala,32,1,1,0,0,1793,1723,70,21,39,23
02-02-2020,Kerala,32,2,2,0,0,1999,1924,75,12,104,36
03-02-2020,Kerala,32,3,3,0,0,2239,2155,84,12,140,46
04-02-2020,Kerala,32,3,3,0,0,2421,2321,100,25,190,100
05-02-2020,Kerala,32,3,3,0,0,2528,2435,93,16,223,193
06-02-2020,Kerala,32,3,3,0,0,2826,2743,83,13,263,229
07-02-2020,Kerala,32,3,3,0,0,3014,2953,61,10,285,261
08-02-2020,Kerala,32,3,3,0,0,3144,3099,45,9,330,288
09-02-2020,Kerala,32,3,3,0,0,3252,3218,34,6,345,326
10-02-2020,Kerala,32,3,3,0,0,3367,3336,31,10,364,337
11-02-2020,Kerala,32,3,3,0,0,3447,3420,27,7,380,344
12-02-2020,Kerala,32,3,3,0,0,2455,2431,24,1040,389,354
13-02-2020,Kerala,32,3,3,0,0,2397,2375,22,122,402,363
14-02-2020,Kerala,32,3,3,0,0,2288,2272,16,130,408,379
15-02-2020,Kerala,32,3,2,1,0,2210,2194,16,111,415,396
16-02-2020,Kerala,32,3,1,2,0,2276,2262,14,42,418,405
17-02-2020,Kerala,32,3,1,2,0,2246,2233,13,120,423,406
18-02-2020,Kerala,32,3,1,2,0,2222,2209,13,59,425,420
19-02-2020,Kerala,32,3,1,2,0,2242,2234,8,58,432,423
20-02-2020,Kerala,32,3,0,3,0,914,907,7,1349,433,423
21-02-2020,Kerala,32,3,0,3,0,711,706,5,216,437,426
22-02-2020,Kerala,32,3,0,3,0,142,137,5,579,441,436
23-02-2020,Kerala,32,3,0,3,0,127,122,5,19,444,436
24-02-2020,Kerala,32,3,0,3,0,135,128,7,7,449,441
25-02-2020,Kerala,32,3,0,3,0,126,118,8,16,451,446
26-02-2020,Kerala,32,3,0,3,0,132,130,2,7,460,451
27-02-2020,Kerala,32,3,0,3,0,135,128,7,16,462,451
28-02-2020,Kerala,32,3,0,3,0,136,128,8,34,471,463
29-02-2020,Kerala,32,3,0,3,0,191,181,10,8,485,471
01-03-2020,Kerala,32,3,0,3,0,206,193,13,9,488,471
02-03-2020,Kerala,32,3,0,3,0,293,276,17,20,504,493
03-03-2020,Kerala,32,3,0,3,0,411,388,23,12,520,494
04-03-2020,Kerala,32,3,0,3,0,469,438,31,11,552,511
05-03-2020,Kerala,32,3,0,3,0,547,508,39,10,574,535
06-03-2020,Kerala,32,3,0,3,0,592,546,46,14,631,579
07-03-2020,Kerala,32,3,0,3,0,637,574,63,20,682,616
08-03-2020,Kerala,32,8,5,3,0,732,648,84,14,729,664
09-03-2020,Kerala,32,9,6,3,0,1116,967,149,85,807,717
10-03-2020,Kerala,32,17,14,3,0,1495,1236,259,120,980,815
11-03-2020,Kerala,32,17,14,3,0,3313,3020,293,83,1179,889
12-03-2020,Kerala,32,19,16,3,0,4180,3910,270,65,1377,953
13-03-2020,Kerala,32,22,19,3,0,5468,5191,277,69,1715,1132
14-03-2020,Kerala,32,22,19,3,0,7677,7375,302,106,1897,1345
15-03-2020,Kerala,32,24,21,3,0,10944,10655,289,68,2147,1514
16-03-2020,Kerala,32,27,24,3,0,12740,12470,270,72,2297,1693
17-03-2020,Kerala,32,27,24,3,0,18011,17743,268,65,2467,1807
18-03-2020,Kerala,32,27,24,3,0,25603,25366,237,57,2550,2140
19-03-2020,Kerala,32,28,25,3,0,31173,30936,237,64,2921,2342
20-03-2020,Kerala,32,40,37,3,0,44390,44165,225,56,3436,2393
21-03-2020,Kerala,32,52,49,3,0,53013,52785,228,70,3716,2566
22-03-2020,Kerala,32,67,64,3,0,59295,58981,314,122,4035,2744
23-03-2020,Kerala,32,95,91,4,0,64320,63937,383,122,4291,2987
24-03-2020,Kerala,32,109,105,4,0,72460,71994,466,164,4561,3331
25-03-2020,Kerala,32,118,112,6,0,76542,76010,532,122,4902,3465
26-03-2020,Kerala,32,137,125,12,0,102003,101402,601,136,5342,3768
27-03-2020,Kerala,32,176,164,12,0,110299,109683,616,112,5679,4448
28-03-2020,Kerala,32,182,165,16,1,134370,133750,620,148,6067,5276
29-03-2020,Kerala,32,202,181,20,1,141211,140618,593,105,6690,5518
30-03-2020,Kerala,32,234,213,20,1,157283,156660,623,126,6991,6034
31-03-2020,Kerala,32,241,215,24,2,163129,162471,658,150,7485,6381
01-04-2020,Kerala,32,265,237,26,2,164130,163508,622,123,7965,7256
02-04-2020,Kerala,32,286,256,28,2,165934,165291,643,145,8456,7622
03-04-2020,Kerala,32,295,251,42,2,169997,169291,706,184,9139,8126
04-04-2020,Kerala,32,306,254,50,2,171355,170621,734,174,9744,8586
05-04-2020,Kerala,32,314,256,56,2,158617,157841,776,188,10221,9300
06-04-2020,Kerala,32,327,266,59,2,152804,152009,795,122,10716,9607
07-04-2020,Kerala,32,336,263,71,2,146686,145934,752,131,11232,10250
08-04-2020,Kerala,32,345,259,84,2,140474,139725,749,169,11986,10906
